_id,master_id,microorganism_common_name,pathogen_group,indicator_or_pathogen,authors,bib_id,year_published,location_comment,city,country,technology_description,influent_concentration,influent_concentration_qualifier,influent_independent_measurement_or_statistic,effluent_concentration,effluent_concentration_qualifier,effluent_independent_measurement_or_statistic,month,measurement_method,units,lrv,hrt_days,holdingtime_days,depth_meters,temperature_celsius,moisture_content_percent,coagulant,imputed_values
1,62,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,180,=,0,7.5,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,1.4,9,NA,2.6,21.5,NA,NA,""
2,63,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,148,=,0,33.6,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,9,NA,2.6,9,NA,NA,""
3,64,Culturable Enterovirus,Virus,pathogen,Bausum et al. (1983),5148,1983,"Kermit, TX, USA","Kermit, TX",United States,Anaerobic Pond,52,=,0,11.7,0,0,0,"Adsorption-Elution Plaque Assay; BGM, HeLa and RD cell lines",pfu/L,0.6,9,NA,2.6,17.4,NA,NA,""
4,144,Entamoeba coli,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,10000,=,0,200,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,1.7,9.5,NA,2.3,27.66,NA,NA,Temperature
5,146,Entamoeba histolytica,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,2000,=,0,60,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,1.5,9.5,NA,2.3,28,NA,NA,Temperature
6,148,Giardia,Protozoa,pathogen,Bouhoum et al. (2000),5150,2000,"Marrakech, Morocco","Marrakech, Morocco",Morroco,Anaerobic Pond,3000,=,0,30,0,0,0,TlmanĐRivas technique as modified by Bailenger (1962),cysts/L,2,9.5,NA,2.3,27.66,NA,NA,Temperature
7,1016,Campylobacter,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,70,=,0,20,0,0,0,MPN Method; Preston broth 42ĄC 24 h; then Preston agar 42ĄC 48 h microaerophilic,MPN/100mL,0.5,1,NA,3.4,25.1,NA,NA,""
8,1021,Culturable Enteric virus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,10000,=,0,6000,0,0,0,Adsorption-Elution Plaque Assay; BMG cell line,pfu/L,0.2,1,NA,3.4,25.1,NA,NA,""
9,1026,Rotavirus,Virus,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,800,=,0,200,0,0,0,Indirect immuno-fluorescent assay; LLC-MK2 and Ma104 cell lines,ff/10L,0.6,1,NA,3.4,25.1,NA,NA,""
10,1031,Salmonella,Bacteria,pathogen,Oragui et al (1987),5067,1987,"EXTRABES, Campina Grande, Brazil","EXTRABES, Campina Grande, Brazil",Brazil,Anaerobic Pond,20,=,0,8,0,0,0,MPN Method; Muller Kauffmann broth 43ĄC 24 h; Brilliant Green agar 43ĄC 24 h,MPN/100mL,0.4,1,NA,3.4,25.1,NA,NA,""
